                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.561,                 3.2816,                 1.8201,                0.37426,                0.36069,                0.25864,                0.18113,                 1.3676,                 2.3365,                 1.7311,              0.0002555,              0.0002555,              0.0002555
                      2,                 1.5034,                 2.6938,                 1.7701,                0.35914,                0.30817,                0.23992,                0.17024,                 1.4432,                 2.3688,                 1.7636,              0.0004865,              0.0004865,              0.0004865
                      3,                 1.4862,                 2.5025,                 1.7501,                0.48718,                0.41362,                 0.3794,                0.26454,                  1.391,                 2.0352,                  1.808,             0.00069212,             0.00069212,             0.00069212
                      4,                 1.4481,                 2.3892,                 1.7171,                0.48995,                0.45483,                0.40018,                0.30112,                 1.3698,                 1.8528,                 1.7496,              0.0006548,              0.0006548,              0.0006548
                      5,                 1.4341,                 2.2976,                 1.7107,                0.62413,                0.40833,                0.39627,                0.28862,                 1.4393,                 2.0385,                 1.7964,             0.00061674,             0.00061674,             0.00061674
                      6,                 1.3932,                 2.1907,                 1.6741,                0.56305,                0.45798,                0.44587,                 0.3369,                 1.3214,                 1.7999,                  1.712,             0.00057867,             0.00057867,             0.00057867
                      7,                 1.3571,                 2.1401,                 1.6502,                0.68403,                0.45993,                0.46304,                0.34475,                 1.3171,                  1.683,                 1.6646,             0.00054061,             0.00054061,             0.00054061
                      8,                 1.3213,                  2.037,                 1.6145,                0.65241,                0.44688,                0.44091,                0.33481,                 1.4108,                 1.9542,                 1.7923,             0.00050254,             0.00050254,             0.00050254
                      9,                 1.3016,                 2.0021,                 1.6072,                0.68581,                0.47261,                 0.4832,                0.35746,                 1.2789,                 1.6207,                 1.6551,             0.00046448,             0.00046448,             0.00046448
                     10,                  1.292,                 1.9629,                 1.5934,                0.65747,                0.46772,                0.45737,                  0.348,                 1.3434,                 1.8494,                 1.6996,             0.00042641,             0.00042641,             0.00042641
                     11,                 1.2918,                 2.0038,                 1.7119,                0.67071,                0.45711,                 0.4922,                 0.3778,                 1.2422,                 1.6397,                  1.596,             0.00038835,             0.00038835,             0.00038835
                     12,                 1.2612,                 1.9134,                 1.6701,                0.67844,                0.47893,                0.48367,                0.36838,                 1.2574,                 1.6447,                 1.6187,             0.00035028,             0.00035028,             0.00035028
                     13,                 1.2299,                 1.8639,                 1.6536,                0.68241,                0.47299,                0.48787,                0.38034,                 1.2797,                 1.6915,                 1.6629,             0.00031221,             0.00031221,             0.00031221
                     14,                 1.2133,                 1.8149,                 1.6385,                0.72398,                0.49326,                0.49944,                 0.3894,                 1.2158,                 1.6195,                 1.5893,             0.00027415,             0.00027415,             0.00027415
                     15,                 1.1781,                 1.7445,                 1.6119,                  0.699,                 0.4832,                0.47273,                 0.3708,                 1.2407,                 1.7182,                 1.6122,             0.00023608,             0.00023608,             0.00023608
                     16,                 1.1613,                 1.7088,                 1.5899,                0.73692,                0.46434,                0.49411,                0.38947,                 1.2418,                 1.6989,                 1.5742,             0.00019802,             0.00019802,             0.00019802
                     17,                  1.134,                 1.6474,                 1.5727,                0.72616,                0.47977,                0.49726,                0.39599,                 1.2072,                 1.6936,                   1.55,             0.00015995,             0.00015995,             0.00015995
                     18,                   1.12,                 1.6161,                 1.5557,                0.75092,                 0.4565,                0.49512,                0.39294,                  1.231,                 1.6849,                 1.5733,             0.00012189,             0.00012189,             0.00012189
                     19,                 1.0967,                 1.5657,                 1.5367,                0.79149,                0.45523,                0.49562,                 0.3968,                 1.2222,                 1.7001,                 1.5721,             8.3821e-05,             8.3821e-05,             8.3821e-05
                     20,                 1.0814,                 1.5411,                 1.5271,                0.72617,                0.46617,                 0.5027,                0.39922,                 1.2226,                 1.6877,                 1.5639,             4.5756e-05,             4.5756e-05,             4.5756e-05
